Y.Lat,X.Long,latitude,longitude,ID
30.57211,100.40904,3057211,10040904,100001
30.57466,100.4035,3057466,10040350,100002
30.57486,100.40294,3057486,10040294,100003
30.57703,100.4091,3057703,10040910,100004
30.5781,100.41096,3057810,10041096,100005
30.57924,100.40387,3057924,10040387,100006
30.58394,100.41058,3058394,10041058,100007
30.58532,100.4116,3058532,10041160,100008
30.58572,100.40777,3058572,10040777,100009
30.58647,100.4046,3058647,10040460,100010
30.58718,100.4035,3058718,10040350,100011
30.58795,100.40672,3058795,10040672,100012
30.58805,100.405,3058805,10040500,100013
30.58848,100.40643,3058848,10040643,100014
30.5893,100.36314,3058930,10036314,100015
30.59097,100.39074,3059097,10039074,100016
30.59221,100.36451,3059221,10036451,100017
30.59221,100.36451,3059221,10036451,100018
30.59375,100.3933,3059375,10039330,100019
30.59437,100.44658,3059437,10044658,100020
30.59646,100.39383,3059646,10039383,100021
30.59732,100.44233,3059732,10044233,100022
30.59754,100.37859,3059754,10037859,100023
30.59801,100.3997,3059801,10039970,100024
30.59909,100.39129,3059909,10039129,100025
30.60143,100.41481,3060143,10041481,100026
30.60354,100.44389,3060354,10044389,100027
30.60449,100.4467,3060449,10044670,100028
30.60666,100.35603,3060666,10035603,100029
30.60932,100.39704,3060932,10039704,100030
30.61647,100.35212,3061647,10035212,100031
30.61718,100.65557,3061718,10065557,100032
30.62356,100.41041,3062356,10041041,100033
30.62371,100.40898,3062371,10040898,100034
30.62371,100.40898,3062371,10040898,100035
30.62419,100.66548,3062419,10066548,100036
30.62501,100.40306,3062501,10040306,100037
30.62572,100.42501,3062572,10042501,100038
30.62686,100.40119,3062686,10040119,100039
30.62805,100.40237,3062805,10040237,100040
30.62805,100.40237,3062805,10040237,100041
30.62959,100.39664,3062959,10039664,100042
30.63024,100.35408,3063024,10035408,100043
30.63124,100.40206,3063124,10040206,100044
30.63156,100.40366,3063156,10040366,100045
30.63195,100.33913,3063195,10033913,100046
30.63268,100.40345,3063268,10040345,100047
30.63325,100.40481,3063325,10040481,100048
30.63427,100.38521,3063427,10038521,100049
30.63441,100.65263,3063441,10065263,100050
30.63441,100.65263,3063441,10065263,100051
30.63741,100.59075,3063741,10059075,100052
30.64189,100.66645,3064189,10066645,100053
30.64189,100.66645,3064189,10066645,100054
30.64189,100.66645,3064189,10066645,100055
30.64189,100.66645,3064189,10066645,100056
30.64189,100.66645,3064189,10066645,100057
30.64189,100.66645,3064189,10066645,100058
30.64189,100.66645,3064189,10066645,100059
30.64189,100.66645,3064189,10066645,100060
30.6426,100.58958,3064260,10058958,100061
30.64318,100.43655,3064318,10043655,100062
30.6439,100.58508,3064390,10058508,100063
30.64427,100.64196,3064427,10064196,100064
30.64445,100.59928,3064445,10059928,100065
30.64485,100.38073,3064485,10038073,100066
30.64515,100.58195,3064515,10058195,100067
30.64948,100.59583,3064948,10059583,100068
30.65013,100.58405,3065013,10058405,100069
30.65015,100.58718,3065015,10058718,100070
30.65096,100.58585,3065096,10058585,100071
30.65103,100.39943,3065103,10039943,100072
30.65113,100.59863,3065113,10059863,100073
30.65126,100.40388,3065126,10040388,100074
30.65197,100.5876,3065197,10058760,100075
30.65203,100.38754,3065203,10038754,100076
30.65244,100.38967,3065244,10038967,100077
30.65293,100.59012,3065293,10059012,100078
30.65295,100.59552,3065295,10059552,100079
30.65365,100.38213,3065365,10038213,100080
30.6537,100.39186,3065370,10039186,100081
30.65483,100.37411,3065483,10037411,100082
30.65502,100.38364,3065502,10038364,100083
30.65521,100.59663,3065521,10059663,100084
30.65537,100.40747,3065537,10040747,100085
30.65576,100.43944,3065576,10043944,100086
30.65579,100.59008,3065579,10059008,100087
30.65589,100.59788,3065589,10059788,100088
30.65647,100.58733,3065647,10058733,100089
30.65656,100.58579,3065656,10058579,100090
30.65971,100.59782,3065971,10059782,100091
30.65977,100.6224,3065977,10062240,100092
30.65977,100.6224,3065977,10062240,100093
30.65977,100.6224,3065977,10062240,100094
30.65977,100.6224,3065977,10062240,100095
30.66004,100.59231,3066004,10059231,100096
30.6603,100.44675,3066030,10044675,100097
30.66068,100.59013,3066068,10059013,100098
30.6609,100.6314,3066090,10063140,100099
30.6609,100.6314,3066090,10063140,100100
30.6609,100.6314,3066090,10063140,100101
30.6609,100.6314,3066090,10063140,100102
30.6609,100.6314,3066090,10063140,100103
30.66166,100.41333,3066166,10041333,100104
30.66324,100.5769,3066324,10057690,100105
30.6654,100.60065,3066540,10060065,100106
30.66548,100.59522,3066548,10059522,100107
30.66574,100.57177,3066574,10057177,100108
30.66575,100.62557,3066575,10062557,100109
30.66592,100.58135,3066592,10058135,100110
30.66672,100.58532,3066672,10058532,100111
30.66708,100.59795,3066708,10059795,100112
30.66727,100.41788,3066727,10041788,100113
30.66741,100.4025,3066741,10040250,100114
30.66816,100.41972,3066816,10041972,100115
30.66875,100.59881,3066875,10059881,100116
30.66917,100.63506,3066917,10063506,100117
30.67027,100.3973,3067027,10039730,100118
30.67088,100.41002,3067088,10041002,100119
30.67093,100.59962,3067093,10059962,100120
30.67093,100.59962,3067093,10059962,100121
30.67096,100.59779,3067096,10059779,100122
30.67107,100.5686,3067107,10056860,100123
30.67157,100.42513,3067157,10042513,100124
30.6716,100.58576,3067160,10058576,100125
30.6718,100.57699,3067180,10057699,100126
30.67233,100.59696,3067233,10059696,100127
30.6724,100.57291,3067240,10057291,100128
30.67277,100.66353,3067277,10066353,100129
30.67277,100.66353,3067277,10066353,100130
30.67282,100.59434,3067282,10059434,100131
30.67296,100.39372,3067296,10039372,100132
30.67321,100.62796,3067321,10062796,100133
30.67321,100.62796,3067321,10062796,100134
30.67321,100.62796,3067321,10062796,100135
30.67321,100.62796,3067321,10062796,100136
30.67321,100.62796,3067321,10062796,100137
30.67321,100.62796,3067321,10062796,100138
30.67321,100.62796,3067321,10062796,100139
30.67321,100.62796,3067321,10062796,100140
30.67322,100.62796,3067322,10062796,100141
30.67394,100.38757,3067394,10038757,100142
30.67419,100.38547,3067419,10038547,100143
30.6746,100.38591,3067460,10038591,100144
30.67494,100.61044,3067494,10061044,100145
30.67602,100.61229,3067602,10061229,100146
30.6763,100.40586,3067630,10040586,100147
30.67756,100.62282,3067756,10062282,100148
30.67775,100.39951,3067775,10039951,100149
30.67775,100.39951,3067775,10039951,100150
30.67803,100.4032,3067803,10040320,100151
30.67808,100.38373,3067808,10038373,100152
30.67851,100.5939,3067851,10059390,100153
30.67855,100.66402,3067855,10066402,100154
30.67855,100.66402,3067855,10066402,100155
30.67875,100.59562,3067875,10059562,100156
30.67895,100.43446,3067895,10043446,100157
30.67918,100.38024,3067918,10038024,100158
30.67986,100.62609,3067986,10062609,100159
30.68016,100.42666,3068016,10042666,100160
30.68036,100.42423,3068036,10042423,100161
30.68041,100.41138,3068041,10041138,100162
30.68061,100.59952,3068061,10059952,100163
30.68061,100.59952,3068061,10059952,100164
30.68061,100.59952,3068061,10059952,100165
30.68073,100.49177,3068073,10049177,100166
30.68073,100.49177,3068073,10049177,100167
30.68081,100.61543,3068081,10061543,100168
30.68081,100.61543,3068081,10061543,100169
30.68081,100.61543,3068081,10061543,100170
30.68081,100.61543,3068081,10061543,100171
30.68081,100.61543,3068081,10061543,100172
30.68081,100.61543,3068081,10061543,100173
30.68081,100.61543,3068081,10061543,100174
30.68081,100.61543,3068081,10061543,100175
30.68087,100.42682,3068087,10042682,100176
30.68105,100.54936,3068105,10054936,100177
30.68157,100.62028,3068157,10062028,100178
30.6817,100.61351,3068170,10061351,100179
30.68181,100.59982,3068181,10059982,100180
30.68204,100.40169,3068204,10040169,100181
30.6824,100.48975,3068240,10048975,100182
30.68254,100.39749,3068254,10039749,100183
30.6827,100.53475,3068270,10053475,100184
30.68273,100.59997,3068273,10059997,100185
30.68304,100.61975,3068304,10061975,100186
30.68306,100.56145,3068306,10056145,100187
30.68352,100.61288,3068352,10061288,100188
30.68359,100.38003,3068359,10038003,100189
30.6839,100.41142,3068390,10041142,100190
30.68402,100.38154,3068402,10038154,100191
30.68405,100.58681,3068405,10058681,100192
30.68407,100.60467,3068407,10060467,100193
30.68468,100.62305,3068468,10062305,100194
30.68468,100.62305,3068468,10062305,100195
30.68499,100.59183,3068499,10059183,100196
30.68523,100.39055,3068523,10039055,100197
30.68537,100.37886,3068537,10037886,100198
30.68572,100.32936,3068572,10032936,100199
30.68574,100.59345,3068574,10059345,100200
30.68584,100.53841,3068584,10053841,100201
30.68587,100.61554,3068587,10061554,100202
30.68587,100.61554,3068587,10061554,100203
30.68629,100.62517,3068629,10062517,100204
30.68642,100.61861,3068642,10061861,100205
30.68642,100.61861,3068642,10061861,100206
30.68668,100.41341,3068668,10041341,100207
30.68683,100.41153,3068683,10041153,100208
30.6876,100.42202,3068760,10042202,100209
30.68784,100.55787,3068784,10055787,100210
30.68784,100.55787,3068784,10055787,100211
30.68784,100.55787,3068784,10055787,100212
30.68812,100.50811,3068812,10050811,100213
30.68848,100.60103,3068848,10060103,100214
30.6886,100.63597,3068860,10063597,100215
30.68872,100.61969,3068872,10061969,100216
30.68872,100.61969,3068872,10061969,100217
30.68872,100.61969,3068872,10061969,100218
30.68872,100.61969,3068872,10061969,100219
30.68872,100.61969,3068872,10061969,100220
30.68872,100.61969,3068872,10061969,100221
30.68872,100.61969,3068872,10061969,100222
30.68872,100.61969,3068872,10061969,100223
30.68872,100.61969,3068872,10061969,100224
30.68872,100.61969,3068872,10061969,100225
30.68872,100.61969,3068872,10061969,100226
30.68873,100.61969,3068873,10061969,100227
30.68873,100.61969,3068873,10061969,100228
30.68873,100.61969,3068873,10061969,100229
30.68877,100.61442,3068877,10061442,100230
30.68898,100.51262,3068898,10051262,100231
30.68931,100.48068,3068931,10048068,100232
30.68938,100.54036,3068938,10054036,100233
30.68941,100.58392,3068941,10058392,100234
30.68949,100.43507,3068949,10043507,100235
30.68967,100.65012,3068967,10065012,100236
30.68981,100.40743,3068981,10040743,100237
30.69002,100.41084,3069002,10041084,100238
30.69002,100.41084,3069002,10041084,100239
30.69071,100.41075,3069071,10041075,100240
30.69106,100.42391,3069106,10042391,100241
30.69161,100.41259,3069161,10041259,100242
